n10225219,"judge, justice, jurist",a public official authorized to decide questions brought before a court of justice.,,,,,
n09436708,sky,the atmosphere and outer space as viewed from the earth.,,,,,
n03768132,mine,explosive device that explodes on contact, designed to destroy vehicles or ships or to kill or maim personnel.,,,,
n10077593,"fan, buff, devotee, lover",an ardent follower and admirer.,,,,,
n03416640,"garage, service department",a repair shop where cars and trucks are serviced and repaired.,,,,,
n02999410,chain,a series of (usually metal) rings or links fitted into one another to make a flexible ligament.,,,,,
n09246464,"cliff, drop, drop-off",has bow a steep high face of rock," ""he stood on a high cliff overlooking the town"""," ""a steep drop"".",,,
n07933274,tea,a beverage made by steeping tea leaves in water," ""iced tea is a cooling drink"".",,,,
n04161981,seat,furniture that is designed for sitting on," ""there were not enough seats for all the guests"".",,,,
n04460130,tower,a structure taller than its diameter, can stand alone or be attached to a larger building.,,,,
n08182379,crowd,a large number of things or people considered together," ""a crowd of insects assembled around the flowers"".",,,,
n06892775,concert,a performance of music by players or singers not involving theatrical staging.,,,,,
n00015388,"animal, animate being, beast, brute, creature, fauna",a living organism characterized by voluntary movement.,,,,,
n04141975,"scale, weighing machine",has bow a measuring instrument for weighing, shows amount of mass.,,,,
n03624767,"knight, horse",a chessman shaped to resemble the head of a horse, can move two squares horizontally and one vertically (or vice versa).,,,,
n03337140,"file, file cabinet, filing cabinet",has bow office furniture consisting of a container for keeping papers in order.,,,,,
n07679356,"bread, breadstuff, staff of life",food made from dough of flour or meal and usually raised with yeast or baking powder and then baked.,,,,,
n14915184,"ice, water ice",water frozen in the solid state," ""Americans like ice in their drinks"".",,,,
n07929519,"coffee, java",a beverage consisting of an infusion of ground coffee beans," ""he ordered a cup of coffee"".",,,,
n03870672,pack,a bundle (especially one carried on the back).,,,,,
n13873502,circle,ellipse in which the two axes are of equal length, a plane curve generated by one point moving at a constant distance from a fixed point," ""he calculated the circumference of the circle"".",,,
n10602985,"sister, sis",a female person who has the same parents as another person," ""my sister married a musician"".",,,,
n04571292,"weight, free weight, exercising weight",sports equipment used in calisthenic exercises and weightlifting, it is not attached to anything and is raised and lowered by use of the hands and arms.,,,,
n04520170,van,a truck with an enclosed cargo space.,,,,,
n10782940,"winner, victor",the contestant who wins the contest.,,,,,
n03961939,platform,a raised horizontal surface," ""the speaker mounted the platform"".",,,,
n07891726,"wine, vino",fermented juice (of grapes especially).,,,,,
n09468604,"valley, vale",has bow a long depression in the surface of the land that usually contains a river.,,,,,
n04004767,printer,has bow (computer science) an output device that prints the results of data processing.,,,,,
n04468005,"train, railroad train",public transport provided by a line of railway cars coupled together and drawn by a locomotive," ""express trains don't stop at Princeton Junction"".",,,,
n10499355,"queen, queen regnant, female monarch",a female sovereign ruler.,,,,,
n10579062,senior,an undergraduate student during the year preceding graduation.,,,,,
n03654826,leg,one of the supports for a piece of furniture.,,,,,
n03546340,"housing, lodging, living accommodations",structures collectively in which people are housed.,,,,,
n02084071,"dog, domestic dog, Canis familiaris",a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times, occurs in many breeds," ""the dog barked all night"".",,,
n10292316,"manufacturer, producer",someone who manufactures something.,,,,,
n03354903,flag,emblem usually consisting of a rectangular piece of cloth of distinctive design.,,,,,
n02898711,"bridge, span",has bow a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc..,,,,,
n02726305,"apartment, flat",a suite of rooms usually on one floor of an apartment house.,,,,,
n04524313,vehicle,a conveyance that transports people or objects.,,,,,
n13134947,fruit,the ripened reproductive body of a seed plant.,,,,,
n03179701,desk,has bow a piece of furniture with a writing surface and usually drawers or other compartments.,,,,,
n07574602,breakfast,the first meal of the day (usually in the morning).,,,,,
n04351550,"suite, rooms",apartment consisting of a series of connected rooms used as a living unit (as in a hotel).,,,,,
n10299250,"master of ceremonies, emcee, host",a person who acts as host at formal occasions (makes an introductory speech and introduces other speakers).,,,,,
n04565375,"weapon, arm, weapon system",any instrument or instrumentality used in fighting or hunting," ""he was licensed to carry a weapon"".",,,,
n04299215,"stall, stand, sales booth",a booth where articles are displayed for sale.,,,,,
n11508382,"snow, snowfall",precipitation falling from clouds in the form of ice crystals.,,,,,
n04063868,recording,a storage device on which information (sounds or images) have been recorded.,,,,,
n02118333,fox,alert carnivorous mammal with pointed muzzle and ears and a bushy tail, most are predators that do not hunt in packs.,,,,
